,rain_sum,temperature_2m_mean,city,,,,,,,,,,
54579,2,27.5,Galle,,,,,,,,,,
54580,8.1,27.7,Galle,,,,,,,,,,
54581,2.7,27.9,Galle,,,,,,,,,,
54582,3.1,28.1,Galle,,,,,,,,,,
54583,9.1,27.8,Galle,,,,,,,,,,
54584,7.8,27.7,Galle,,,,,,,,,,
54585,11.5,27.6,Galle,,,,,,,,,,
54586,14.6,27.4,Galle,,,,,,,,,,
54587,6.2,26.9,Galle,,,,,,,,,,
54588,9.6,26.9,Galle,,,,,,,,,,
54589,1.8,27.7,Galle,,,,,,,,,,
54590,5.6,27.3,Galle,,,,,,,,,,
54591,13.7,27.2,Galle,,,,,,,,,,
54592,2,27.3,Galle,,,,,,,,,,
54593,1.4,27.8,Galle,,,,,,,,,,
54594,4.2,27.8,Galle,,,,,,,,,,
54595,3.1,27,Galle,,,,,,,,,,
54596,1.3,27.8,Galle,,,,,,,,,,
54597,4.1,26.5,Galle,,,,,,,,,,
54598,1.7,27,Galle,,,,,,,,,,
54599,4.7,27.4,Galle,,,,,,,,,,
54600,8.9,26.8,Galle,,,,,,,,,,
54601,1.8,27.5,Galle,,,,,,,,,,
54602,2.6,27.9,Galle,,,,,,,,,,
54603,2.6,27.7,Galle,,,,,,,,,,
54604,6.3,27,Galle,,,,,,,,,,
54605,7.6,26.7,Galle,,,,,,,,,,
54606,6.1,27,Galle,,,,,,,,,,
54607,4.2,27.6,Galle,,,,,,,,,,
54608,2.3,28.1,Galle,,,,,,,,,,
54609,3.1,28.2,Galle,,,,,,,,,,
54610,1.1,28.2,Galle,,,,,,,,,,
54611,4.1,27.4,Galle,,,,,,,,,,
54612,0.3,27.9,Galle,,,,,,,,,,
54613,0,27.8,Galle,,,,,,,,,,
54614,2.9,27.7,Galle,,,,,,,,,,
54615,2.1,28,Galle,,,,,,,,,,
54616,2.8,27.5,Galle,,,,,,,,,,
54617,3.7,27.4,Galle,,,,,,,,,,
54618,4.1,27.4,Galle,,,,,,,,,,
54619,0.3,27.7,Galle,,,,,,,,,,
54620,0.2,27.5,Galle,,,,,,,,,,
54621,0.6,27.6,Galle,,,,,,,,,,
54622,0.9,27.1,Galle,,,,,,,,,,
54623,0.4,27.5,Galle,,,,,,,,,,
54624,0.9,27.5,Galle,,,,,,,,,,
54625,1.7,27.6,Galle,,,,,,,,,,
54626,7.5,26.5,Galle,,,,,,,,,,
54627,1.9,26.9,Galle,,,,,,,,,,
